"Table 2.3.6. Real Personal Consumption Expenditures by Major Type of Product, Chained Dollars"
"[Billions of chained (2012) dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 29, 2019 - Next Release Date September 26, 2019"
"Line","","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"27","    Energy goods and services5",651.7,658.4,664.3,669.4,660.3,665.1,643.9,648.9,655.7,641.6,629.6,643.8,646.7,663.6,663.2,657.0,673.1
"28","    Market-based PCE6",8068.1,8321.0,8638.6,8945.8,9199.6,9414.5,9346.0,9218.1,9383.6,9548.2,9676.2,9845.7,10166.8,10566.2,10875.7,11161.6,11489.1
"29","    Market-based PCE excluding food and energy6",6696.0,6919.6,7207.3,7475.6,7709.7,7906.9,7872.9,7746.8,7892.3,8067.9,8200.8,8346.8,8648.8,9017.7,9296.0,9551.8,9832.5
"Legend / Footnotes:"
"1. Net expenses of NPISHs, defined as their gross operating expenses less primary sales to households."
"2. Gross output is net of unrelated sales, secondary sales, and sales to business, to government, and to the rest of the world; excludes own-account investment (construction and software)."
"3. Excludes unrelated sales, secondary sales, and sales to business, to government, and to the rest of the world; includes membership dues and fees."
"4. Food consists of food and beverages purchased for off-premises consumption; food services, which include purchased meals and beverages, are not classified as food."
"5. Consists of gasoline and other energy goods and of electricity and gas services."
"6. Market-based PCE is a supplemental measure that is based on household expenditures for which there are observable price measures.It excludes most imputed transactions (for example, financial services furnished without payment) and the final consumption expenditures of nonprofit institutions serving households."
"Note. Chained (2012) dollar series are calculated as the product of the chain-type quantity index and the 2012 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not additive. The residual line is the difference between the first line and the sum of the most detailed lines."
