"Table 7.3. Current-Cost Depreciation of Government Fixed Assets"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 8, 2019"
"Line","","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"12","            Transportation",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.7,0.7,0.7,0.7,0.7,0.8,1.0,1.3,1.4,1.4,1.4,1.5,1.6,1.7,1.9,2.0,2.3,2.5,2.6,2.7,2.7,3.0,3.3,3.6,3.9,4.2,4.6,4.8,5.3,5.7,6.3,7.1,8.0,9.1,10.0,10.4,10.7,11.4,12.2,12.8,13.2,13.5,13.8,14.5,15.5
"13","            Power",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.7,0.8,1.0,1.1,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.3,2.4,2.5,2.6,2.7,2.7,2.8,2.8,3.0,3.1,3.2,3.3,3.6,3.9,4.2,4.6,5.0,5.2,5.4,5.7,6.0,6.2,6.4,6.6,6.8,7.0,7.2
"14","            Highways and streets",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.7,0.7,0.7,0.9,1.0,1.0,0.9,1.1,1.2,1.2,1.2,1.2,1.4,1.5,1.6,1.6,1.7,1.8,1.9,2.1,2.2,2.4,2.6,2.9,3.1,3.5,4.0,4.4,4.7,5.3,7.0,7.7,7.7,7.7,7.9,8.7,10.3,12.2,13.4,13.3,13.0,13.3,14.1,15.2,15.8,16.2,17.1,17.7,18.0,18.6,19.4,20.9,22.1,23.4,24.3,25.6,27.4,29.0,30.4,31.6,33.7,38.7,43.5,49.8,54.7,56.2,57.5,60.7,64.2,66.2,67.4,67.8,68.5,71.1,75.0
"15","            Military facilities 3",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.1,1.2,1.3,1.5,1.9,2.1,2.4,2.5,2.7,2.7,3.1,3.3,3.5,3.5,3.5,3.6,3.8,4.0,4.2,4.2,4.4,4.5,4.7,4.9,5.2,5.3,5.5,5.7,5.8,6.0,6.2,6.4,6.6,6.7,6.8,7.1,7.8,8.5,9.1,9.7,9.6,9.7,10.1,10.3,10.5,10.8,10.7,10.7,11.0,11.3
"16","            Conservation and development",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1.1,1.2,1.2,1.3,1.4,1.6,1.8,1.9,2.0,2.0,2.1,2.1,2.2,2.2,2.3,2.5,2.5,2.6,2.7,2.8,2.9,3.1,3.2,3.3,3.4,3.5,3.6,3.6,3.8,4.0,4.3,4.6,4.8,5.1,5.3,5.3,5.6,5.9,6.0,6.1,6.2,6.2,6.4,6.7
"17","            Other structures 4",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1.1,1.2,1.3,1.6,1.9,2.1,2.2,2.5,2.9,3.3,3.6,3.8,4.0,4.2,4.4,4.6,4.8,5.1,5.4,5.7,5.8,6.1,6.5,6.9,7.2,7.5,7.9,8.1,8.6,9.1,9.6,10.0,10.4,11.3,12.5,13.7,14.9,15.7,16.0,16.8,17.8,18.6,19.2,20.0,20.6,21.2,22.0,23.0
"18","          Intellectual property products",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.5,0.7,0.8,1.0,1.1,1.2,1.3,1.5,1.7,1.8,2.0,2.3,2.7,3.3,3.9,4.4,5.0,5.5,6.1,6.7,7.5,8.1,8.8,9.6,10.7,11.8,13.1,14.4,15.4,16.8,18.9,20.8,22.2,23.9,26.0,28.9,32.8,37.2,41.6,45.5,50.2,54.8,59.4,64.3,70.6,75.9,80.4,84.8,87.0,89.3,90.8,94.0,94.7,96.5,98.2,101.5,106.0,108.4,110.8,114.9,120.6,127.4,134.2,141.9,150.5,154.5,161.1,167.8,172.5,176.9,182.3,184.8,186.6,192.4,200.0
"19","            Software","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.5,0.6,0.7,0.8,1.1,1.3,1.5,1.8,2.0,2.4,2.9,3.6,4.2,4.9,5.7,6.7,7.6,8.6,9.8,11.2,12.8,14.5,15.5,16.8,17.5,18.3,18.6,19.2,20.4,22.3,24.5,25.8,26.2,26.2,26.6,27.6,29.0,30.4,32.2,33.2,33.6,35.0,36.4,38.7,41.3,43.2,45.1,47.3,50.4
"20","            Research and development",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.5,0.7,0.8,1.0,1.1,1.2,1.3,1.5,1.7,1.8,2.0,2.3,2.7,3.3,3.9,4.4,5.0,5.5,6.1,6.7,7.4,8.0,8.7,9.4,10.4,11.5,12.7,13.8,14.7,15.9,17.8,19.4,20.6,22.2,24.1,26.5,29.9,33.6,37.3,40.6,44.4,48.1,51.8,55.6,60.8,64.8,67.6,70.3,71.6,72.5,73.3,75.7,76.1,77.3,77.8,79.1,81.5,82.6,84.6,88.7,94.0,99.8,105.2,111.5,118.3,121.4,127.5,132.9,136.1,138.2,141.0,141.6,141.5,145.1,149.6
"21","Federal",0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.9,2.2,5.0,7.8,9.2,9.9,9.5,8.4,7.5,6.9,7.5,8.4,9.4,10.1,10.7,11.7,12.7,13.4,14.3,15.2,16.0,17.2,18.4,19.2,20.0,21.1,22.5,24.2,25.8,27.6,29.1,30.2,31.8,35.4,38.8,41.7,45.2,49.5,54.5,60.4,67.5,75.5,81.7,90.9,97.1,103.4,110.1,118.9,126.9,133.5,140.1,143.3,146.9,150.3,153.5,153.7,154.1,155.4,158.3,162.9,164.9,167.1,172.4,180.4,190.5,201.2,212.0,225.9,233.7,243.7,254.9,261.6,265.8,270.1,271.3,271.8,277.1,286.1
"22","  National defense",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6,1.8,4.6,7.3,8.7,9.4,8.9,7.8,6.9,6.2,6.6,7.5,8.5,9.2,9.8,10.7,11.7,12.3,13.0,13.8,14.5,15.4,16.3,16.7,17.1,17.5,18.4,19.4,20.3,21.3,21.9,22.3,23.1,25.3,27.4,29.3,31.6,34.2,37.3,40.6,45.0,50.5,55.3,62.7,67.4,72.4,77.8,84.3,90.1,94.5,98.5,99.9,101.2,102.6,103.3,101.7,100.2,99.6,99.4,100.5,100.3,100.7,103.6,108.7,115.2,122.0,129.5,138.3,143.5,149.5,156.3,159.6,160.5,160.8,159.5,157.6,158.5,162.0
"23","    Equipment",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,1.4,3.9,6.4,7.5,7.9,7.3,5.9,5.0,4.3,4.3,5.0,5.7,6.4,6.7,7.1,7.5,7.5,7.8,8.1,8.4,8.9,9.4,9.5,9.6,9.8,10.3,10.8,11.1,11.4,11.4,11.3,11.0,11.9,12.8,14.2,15.5,17.3,18.7,20.0,22.0,25.1,27.6,31.9,33.1,34.6,36.2,38.4,41.0,43.3,45.6,46.7,47.9,49.8,49.7,48.8,47.1,46.8,46.3,46.5,46.5,46.7,47.7,49.6,52.0,54.7,57.8,62.5,66.7,70.5,74.4,76.1,76.2,75.6,74.4,73.6,73.3,74.9
"24","      Aircraft","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",3.4,3.4,3.9,4.3,4.6,5.0,5.6,6.0,6.9,7.7,9.0,10.0,12.1,11.3,11.0,10.6,10.7,11.5,12.0,12.4,12.1,12.1,12.7,12.6,12.3,11.4,11.2,11.4,11.5,11.8,11.7,11.4,11.6,11.7,12.1,12.4,12.9,13.1,13.5,14.5,15.0,15.2,15.6,15.0,15.3,15.4,16.0
"25","      Missiles","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",1.9,1.6,1.8,1.9,2.5,2.9,3.2,3.5,2.9,2.7,3.1,3.5,4.1,4.5,4.9,5.2,5.6,5.8,6.2,6.7,6.9,7.3,8.1,7.9,7.5,6.8,7.2,6.8,6.5,6.2,5.9,5.8,5.8,5.6,5.5,5.4,5.4,5.2,5.3,5.4,5.4,5.5,5.5,5.6,5.5,5.4,5.4
"26","      Ships","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",1.7,1.8,2.0,2.3,2.4,2.7,3.1,3.4,3.9,4.3,4.6,5.0,5.6,5.9,6.4,6.7,7.1,7.7,8.1,8.8,9.1,9.3,9.5,9.9,9.7,9.5,9.2,8.9,8.9,8.8,8.8,9.0,9.4,9.7,10.1,10.6,11.0,11.3,11.6,12.1,12.2,12.0,12.1,11.9,11.9,12.1,12.3
"27","      Vehicles","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.8,0.7,0.5,0.5,0.5,0.6,0.6,0.7,0.8,1.1,1.4,1.5,1.8,2.2,2.2,2.7,2.8,2.8,2.8,3.0,3.1,3.1,3.1,2.7,2.5,2.4,2.3,2.3,2.2,2.2,2.3,2.4,2.6,2.9,3.2,3.9,4.8,5.9,6.7,7.0,7.1,6.7,6.1,6.0,5.5,5.0,4.8
"28","      Electronics","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",1.6,1.5,1.4,1.4,1.3,1.3,1.3,1.4,1.5,1.7,1.8,2.0,2.3,2.6,3.0,3.4,3.9,4.1,4.2,4.2,4.1,4.1,4.0,3.9,3.7,3.6,3.4,3.3,3.4,3.5,3.5,3.7,4.0,4.4,5.0,5.8,6.9,8.0,8.8,9.2,9.3,9.1,8.7,8.1,7.7,7.6,7.6
"29","      Other equipment","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",1.9,2.0,2.2,2.5,2.8,3.0,3.4,3.6,4.1,4.6,5.2,5.5,6.0,6.5,7.1,7.6,8.3,9.1,9.8,10.6,11.4,12.0,12.3,12.6,13.1,13.4,13.5,13.6,13.9,14.1,14.5,15.3,16.3,17.7,18.8,19.8,21.4,23.1,24.7,26.2,27.2,27.7,27.7,27.7,27.7,27.9,28.7
"30","    Structures",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.6,0.6,0.7,0.9,0.9,0.9,0.9,1.1,1.2,1.3,1.1,1.2,1.3,1.4,1.5,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.7,1.8,1.9,2.0,2.2,2.4,2.8,3.2,3.6,3.6,3.9,4.0,4.5,4.9,5.2,5.3,5.3,5.5,5.7,5.9,6.2,6.4,6.7,6.9,7.1,7.3,7.6,7.8,8.1,8.3,8.5,8.7,8.9,9.2,9.5,9.7,9.9,10.4,11.2,12.2,12.9,13.5,13.3,13.2,13.6,13.9,14.2,14.5,14.5,14.5,14.8,15.2
"31","      Buildings",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.5,0.6,0.6,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,1.0,1.1,1.2,1.2,1.2,1.3,1.4,1.6,1.7,1.8,1.8,1.9,1.9,1.9,2.0,2.1,2.3,2.4,2.4,2.4,2.4,2.5,2.6,2.6,2.7,2.7,2.8,2.9,2.9,3.0,3.1,3.2,3.5,3.7,3.8,3.8,3.6,3.5,3.5,3.6,3.6,3.7,3.8,3.8,3.9,4.0
"32","        Residential",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.4,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,1.0,1.0,1.1,1.1,1.2,1.3,1.4,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6
"33","        Industrial",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.1,1.1,1.3,1.4,1.5,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.9,1.9,2.0,2.1,2.2,2.3,2.3,2.2,2.1,2.1,2.2,2.2,2.2,2.2,2.2,2.3,2.3
"34","      Military facilities 3",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.1,1.2,1.3,1.5,1.9,2.1,2.4,2.5,2.7,2.7,3.1,3.3,3.5,3.5,3.5,3.6,3.8,4.0,4.2,4.2,4.4,4.5,4.7,4.9,5.2,5.3,5.5,5.7,5.8,6.0,6.2,6.4,6.6,6.7,6.8,7.1,7.8,8.5,9.1,9.7,9.6,9.7,10.1,10.3,10.5,10.8,10.7,10.7,11.0,11.3
"35","    Intellectual property products","---","---","---","---",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.5,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.5,1.7,1.9,2.3,2.8,3.3,3.8,4.2,4.6,5.0,5.4,5.7,5.9,6.1,6.4,6.9,7.3,7.8,8.3,8.7,9.3,10.2,11.0,11.5,12.1,12.9,14.1,15.7,17.7,20.1,22.4,25.3,28.5,31.9,35.3,39.5,42.4,44.4,45.9,46.0,45.6,45.1,45.5,44.7,44.6,44.2,44.2,44.8,44.2,44.4,46.1,48.7,52.0,55.2,58.7,62.3,63.5,65.8,68.3,69.6,70.1,70.8,70.7,69.5,70.3,71.9
"36","      Software","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.5,0.6,0.8,0.9,1.1,1.3,1.5,1.9,2.3,2.7,3.2,3.6,4.1,4.6,4.8,5.2,5.2,5.4,5.4,5.5,5.6,5.9,6.1,6.1,5.9,5.8,5.8,5.9,6.0,6.2,6.4,6.6,6.6,7.0,7.2,7.7,8.4,8.8,9.2,9.7,10.3
