"Table 2.3.5. Personal Consumption Expenditures by Major Type of Product"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 29, 2019 - Next Release Date September 26, 2019"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"22","    Final consumption expenditures of nonprofit institutions serving households (NPISHs)1",1.3,1.3,1.2,1.0,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.1,1.1,1.3,1.5,1.7,1.7,2.0,2.1,2.3,2.3,2.4,2.6,2.9,3.0,3.2,3.4,3.8,4.0,4.3,4.9,5.1,5.2,5.5,5.8,6.4,7.0,7.5,8.1,8.8,9.4,10.5,11.7,12.8,13.8,15.5,17.0,19.0,20.6,23.0,26.1,30.0,34.1,38.0,40.8,45.4,47.9,52.6,55.7,63.3,68.0,75.9,80.1,87.9,90.1,97.8,102.3,110.0,105.6,123.8,138.2,158.0,179.1,198.3,205.5,206.4,210.3,239.2,248.8,287.3,289.2,294.4,311.9,341.5,352.6,365.6,371.4,397.5,413.8,443.0
"23","        Gross output of nonprofit institutions2","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",13.9,14.8,15.8,16.9,18.3,20.3,22.1,24.3,27.0,30.3,34.0,38.1,42.8,47.4,51.8,58.8,67.2,76.3,85.2,96.7,109.4,126.1,145.7,163.8,179.2,194.4,209.3,227.3,246.9,275.5,301.2,334.4,362.9,396.4,418.7,440.1,458.5,483.1,502.6,542.5,576.3,621.6,676.4,737.1,774.6,819.0,868.5,932.2,983.1,1047.4,1088.3,1128.6,1173.5,1236.5,1271.7,1322.4,1383.2,1463.0,1521.6,1597.9
"24","        Less: Receipts from sales of goods and services by nonprofit institutions3","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",9.0,9.8,10.5,11.5,12.6,13.8,15.1,16.9,18.9,21.6,24.6,27.6,31.1,34.5,38.1,43.3,50.2,57.3,64.5,73.6,83.2,96.1,111.5,125.8,138.5,149.0,161.4,174.7,191.2,212.2,233.2,258.6,282.8,308.5,328.7,342.3,356.2,373.1,397.0,418.7,438.1,463.6,497.4,538.7,569.1,612.6,658.2,693.0,734.4,760.1,799.1,834.2,861.7,895.0,919.1,956.8,1011.8,1065.5,1107.8,1154.9
"","Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","    PCE excluding food and energy4",56.6,50.8,44.7,35.9,32.7,35.7,38.4,42.5,46.0,44.4,47.1,50.1,57.0,61.8,70.6,77.5,85.9,101.4,112.4,122.2,126.7,138.4,149.0,156.6,168.1,172.7,188.3,197.6,208.4,214.0,232.6,244.4,253.1,272.1,289.3,313.0,338.5,367.1,390.0,431.8,469.3,501.7,548.5,605.8,668.5,719.7,797.3,894.7,998.6,1122.4,1239.7,1353.1,1501.5,1622.9,1817.2,2008.1,2210.3,2391.3,2566.6,2793.1,3002.1,3194.9,3314.4,3561.7,3796.6,4042.5,4267.2,4513.0,4787.8,5132.4,5491.2,5899.4,6174.0,6454.1,6766.8,7179.2,7605.3,8039.7,8413.4,8592.6,8567.0,8840.8,9188.9,9531.1,9815.1,10290.4,10829.1,11314.7,11810.6,12404.2
"26","    Energy goods and services5",4.6,4.5,4.1,3.8,3.8,4.1,4.2,4.6,4.9,4.8,5.0,5.3,5.9,5.6,5.0,5.2,5.9,7.9,9.3,10.9,11.3,12.2,13.4,14.3,15.4,16.4,17.9,19.4,20.8,21.8,23.0,24.2,24.6,25.8,26.8,28.1,30.1,32.2,34.1,36.2,39.0,41.5,44.3,47.8,54.4,67.5,76.7,85.6,95.6,103.7,127.4,158.4,177.1,181.2,187.3,193.1,199.5,178.6,185.4,194.1,209.3,223.0,226.1,231.4,241.9,246.4,251.7,269.7,274.2,257.4,272.4,322.1,327.6,313.5,356.8,400.8,473.6,520.4,555.7,614.7,502.2,558.1,632.7,629.6,638.1,635.5,535.1,495.9,533.9,591.0
"27","    Market-based PCE6","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",2783.2,3012.2,3237.6,3453.8,3572.1,3794.0,4004.0,4232.8,4448.2,4695.4,4949.2,5231.7,5590.5,5997.2,6266.6,6505.5,6839.0,7266.9,7733.7,8168.2,8565.8,8789.5,8697.7,8986.6,9377.1,9676.2,9944.9,10378.1,10772.4,11167.4,11628.1,12187.6
"28","    Market-based PCE excluding food and energy6","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",2274.3,2476.1,2663.6,2840.3,2943.7,3158.7,3349.1,3554.8,3753.3,3964.3,4200.6,4487.2,4802.9,5134.8,5375.3,5617.2,5882.9,6233.8,6592.2,6948.0,7273.1,7406.1,7422.9,7642.0,7925.3,8200.8,8443.3,8846.3,9317.9,9734.1,10127.1,10593.7
"Legend / Footnotes:"
"1. Net expenses of NPISHs, defined as their gross operating expenses less primary sales to households."
"2. Gross output is net of unrelated sales, secondary sales, and sales to business, to government, and to the rest of the world; excludes own-account investment (construction and software)."
"3. Excludes unrelated sales, secondary sales, and sales to business, to government, and to the rest of the world; includes membership dues and fees."
"4. Food consists of food and beverages purchased for off-premises consumption; food services, which include purchased meals and beverages, are not classified as food."
"5. Consists of gasoline and other energy goods and of electricity and gas services."
"6. Market-based PCE is a supplemental measure that is based on household expenditures for which there are observable price measures.It excludes most imputed transactions (for example, financial services furnished without payment) and the final consumption expenditures of nonprofit institutions serving households."
