"Table 6.2C. Compensation of Employees by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 30, 2019"
"Line","","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"25","                Miscellaneous manufacturing industries",9210,10461,10962,11323,11470,12224,13006,13773,14192,15390,16156,16206,16998,17766
"26","            Nondurable goods",226913,241039,252955,264368,272997,288780,296337,304952,309969,315348,328470,339826,349086,363028
"27","                Food and kindred products",45032,46863,48850,51788,54110,56518,58238,59765,60813,62403,64464,68020,69790,72866
"28","                Tobacco products",2558,2641,2780,2732,2761,2837,2622,2920,2934,2925,3001,2968,2923,3090
"29","                Textile mill products",15523,16116,16671,16609,16923,18193,18807,19189,19061,18869,19426,19264,18862,18549
"30","                Apparel and other textile products",18166,18938,19562,19677,19951,20860,21163,21518,20962,20391,20296,19932,19184,18418
"31","                Paper and allied products",24278,25549,26897,27945,28715,30559,31226,31806,32602,33004,34003,34457,35357,35975
"32","                Printing and publishing",42566,46765,48766,51341,52238,54657,55907,57925,59529,61089,64559,67484,70261,73511
"33","                Chemicals and allied products",43967,48159,51280,54633,57580,61615,62756,63682,64625,67649,70859,73869,77820,84254
"34","                Petroleum and coal products",9052,8623,9139,9403,9983,10439,10595,10907,10788,10270,10998,10689,10586,10372
"35","                Rubber and miscellaneous plastics products",23142,24631,26195,27361,27921,30193,31995,34225,35798,35977,38110,40498,41742,43461
"36","                Leather and leather products",2632,2754,2814,2879,2815,2909,3028,3016,2856,2770,2754,2644,2561,2533
"37","        Transportation and public utilities",193068,202350,211753,224670,232424,246469,254786,267480,275742,288841,305019,328242,360179,385335
"38","            Transportation",103264,109486,116018,122989,126758,134732,139204,147236,152168,160724,169647,182729,194369,206185
"39","                Railroad transportation",16977,15435,15173,14858,15047,15725,15321,15176,15071,15290,15443,16527,17128,16752
"40","                Local and interurban passenger transit",5324,5988,6334,6808,7246,7760,8239,8854,9275,9901,10545,11540,12644,12916
"41","                Trucking and warehousing2",43005,42158,44457,46527,47222,50498,52819,57547,60495,65602,71483,77718,80306,86273
"42","                Water transportation",6665,6397,6698,7125,7575,7783,7802,7979,7828,7967,8204,8528,8941,9484
"43","                Transportation by air2",22904,30275,33325,36589,38082,40548,41920,43895,45031,47177,48096,51807,57719,61638
"44","                Pipelines, except natural gas",857,904,896,975,1056,1160,1129,1155,1129,1143,1203,1261,1427,1487
"45","                Transportation services",7531,8330,9135,10105,10528,11258,11972,12631,13340,13644,14673,15348,16203,17636
"46","            Communications",50169,52104,52787,55867,57347,59963,62496,66480,70188,73980,80413,88990,102887,112264
"47","                Telephone and telegraph",39857,41105,41385,43222,44564,46262,48113,51097,53251,55303,60669,66779,77750,85156
"48","                Radio and television",10313,10999,11401,12645,12783,13701,14383,15383,16937,18677,19744,22211,25137,27109
"49","            Electric, gas, and sanitary services",39635,40760,42949,45814,48320,51774,53086,53764,53385,54138,54960,56522,62923,66886
"50","        Wholesale trade",180195,197965,212519,221597,226157,239763,244200,259023,276683,292152,314578,342575,358111,384677
"51","        Retail trade",259555,279087,294005,306503,314224,328483,344034,367791,388177,407019,432017,466270,495691,528123
"52","        Finance, insurance, and real estate",204781,223133,231656,245711,255456,284111,299050,306925,321721,348490,381987,429602,457440,502854
"53","            Depository institutions",56891,62293,65296,68103,68226,72811,74615,76612,79578,83870,89724,94911,99461,102387
"54","            Nondepository institutions",13271,12741,13172,14137,15146,18246,21626,22068,22424,25623,29744,38219,40799,41965
"55","            Security and commodity brokers",31350,32654,30468,31886,34417,46358,50811,49895,56115,66375,77614,91326,101023,128318
"56","            Insurance carriers",44770,48143,51760,56782,61082,65528,68226,71369,74005,77558,82279,90951,95286,99481
"57","            Insurance agents, brokers, and service",18482,21133,22467,23999,25015,25984,26764,28402,29605,31359,33542,36321,37940,40469
"58","            Real estate",30290,33786,35293,36282,36244,37864,39086,41070,41836,44416,48241,54274,58260,62219
"59","            Holding and other investment offices",9728,12384,13201,14521,15327,17319,17921,17508,18158,19288,20843,23601,24671,28014
"60","        Services",542564,604178,667804,741310,780211,849372,906414,962083,1038231,1120350,1216983,1340688,1453548,1616265
"61","            Hotels and other lodging places",22280,24883,27022,29300,29875,31382,32490,33598,35004,36823,39274,42479,47429,51033
"62","            Personal services",15559,16734,17758,19229,19841,20552,21514,22414,23741,25089,26908,29342,30983,33196
"63","            Business services",90031,98816,110840,123535,126284,141210,154041,170473,196409,226145,263043,308614,355627,430833
"64","            Auto repair, services, and parking",16556,18078,19493,21274,20946,21839,23274,24909,26583,28664,30557,33366,35754,38640
"65","            Miscellaneous repair services",7792,8903,9836,10637,9611,10273,10939,10663,11627,12437,12982,14116,14478,15263
"66","            Motion pictures",8591,9069,10001,11708,11823,12199,13491,14621,16613,18997,20885,22266,23173,24342
"67","            Amusement and recreation services",15960,17656,19588,22540,23929,26938,29403,30855,33965,37102,39876,43412,46947,51505
"68","            Health services",175705,193648,214535,240986,264141,288454,308633,324756,338250,352994,369665,389781,410709,431737
"69","            Legal services",32677,38925,42027,46286,47882,50879,52298,52778,54250,56683,60010,64214,67747,74111
"70","            Educational services",29099,30395,33037,35521,38496,41752,44366,47366,50385,53587,57303,62977,68266,73368
"71","            Social services and membership organizations",45248,49717,55011,60492,65897,70687,76531,82419,88556,93783,100617,111506,121030,131935
"72","                Social services",19659,21449,24305,27503,30699,34200,36906,39507,42306,44459,47364,51859,57113,62684
"73","                Membership organizations",25590,28268,30706,32989,35198,36487,39625,42912,46250,49324,53253,59647,63917,69251
"74","            Other services3",75337,89008,99693,110375,112294,122986,128585,135991,150817,165891,183669,204479,218519,246537
"75","            Private households",7729,8344,8963,9428,9191,10222,10848,11241,12033,12156,12195,14133,12884,13766
"76","    Government",537594,577683,622084,674125,718442,762120,784973,812570,835564,858321,889727,928781,980828,1043379
"77","        Federal",184833,196356,204432,215788,227340,233258,230623,230559,228555,228602,230773,234412,241612,256305
"78","            General government",153075,161933,168460,176011,186490,189572,188049,186072,183342,182168,183459,185847,191683,202447
"79","                Civilian",79671,85868,90638,96054,102627,107163,111446,112883,112344,112941,114182,116328,120357,128009
"80","                Military4",73404,76065,77823,79957,83863,82409,76603,73189,70998,69227,69277,69519,71326,74438
"81","            Government enterprises",31759,34424,35972,39777,40850,43686,42574,44486,45213,46434,47314,48564,49929,53858
"82","        State and local",352761,381326,417652,458337,491102,528862,554350,582011,607009,629719,658954,694369,739216,787074
"83","            General government",327802,354372,388373,426546,457167,492634,516065,541864,565394,586562,613505,646300,688090,732479
"84","                Education",170584,184533,202227,221928,238247,255316,268278,280963,294645,307902,324394,343596,366706,391822
"85","                Other1",157217,169839,186145,204618,218920,237318,247787,260901,270749,278660,289111,302703,321385,340656
"86","            Government enterprises1",24960,26954,29279,31791,33935,36228,38285,40147,41616,43157,45449,48070,51126,54595
"87","Rest of the world",-1356,-867,-1285,-2307,-2751,-2965,-3320,-4015,-4090,-4125,-4402,-4563,-7170,-6566
"88","    Receipts from the rest of the world",994,995,1017,1172,1290,1796,1820,1943,2179,2181,2270,2437,4246,4395
"89","    Less:  Payments to the rest of the world5",2350,1862,2302,3479,4041,4761,5140,5958,6269,6306,6672,7000,11416,10961
"","Addenda:","","","","","","","","","","","","","",""
"90","  Households and institutions",171035,193107,211746,233654,252425,273018,291410,307628,324187,339663,358223,384958,407552,434883
"91","  Nonfarm business",2062438,2228867,2360898,2493034,2543948,2702979,2810895,2960208,3113772,3296646,3540890,3840458,4103799,4465174
"Legend / Footnotes:"
"1. Beginning with 1990, reflects the reclassification of employees of Indian tribal governments from the private sector to state and local government."
"2. Reflects the reclassification of air couriers from trucking and warehousing to transportation by air."
"3. Consists of museums, botanical and zoological gardens; engineering and management services; and services, not elsewhere classified."
"4. Includes Coast Guard."
"5. Beginning with 1993, includes estimates of foreign professional workers and undocumented Mexican migratory workers employed temporarily in the United States."
"Note. Estimates in this table are based on the 1987 Standard Industrial Classification (SIC)."
