"Table 1.1.6. Real Gross Domestic Product, Chained Dollars"
"[Billions of chained (2012) dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: February 28, 2019 - Next Release Date March 28, 2019"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"10","            Structures","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",473.5,456.6,456.3,466.1,501.7,568.6,605.4,492.2,412.8,424.1,479.4,485.5,536.9,520.9,494.7,517.5,543.3
"11","            Equipment","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",607.8,634.3,688.6,760.0,832.6,865.8,824.4,649.7,781.2,886.2,983.4,1029.2,1098.7,1132.6,1116.2,1183.7,1271.9
"12","            Intellectual property products","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",421.5,437.7,459.2,493.1,521.5,554.3,575.3,572.4,588.1,624.8,655.7,691.4,721.1,747.8,803.9,841.1,905.6
"13","        Residential","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",692.6,755.5,830.9,885.4,818.9,665.8,504.6,395.3,383.0,382.5,432.0,485.5,504.2,555.3,591.3,611.1,609.6
"14","    Change in private inventories","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",24.3,19.9,82.6,63.7,87.1,40.6,-32.7,-177.3,57.3,46.7,71.2,108.7,86.6,129.0,23.4,22.5,45.1
"15","Net exports of goods and services","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",-667.3,-735.0,-841.4,-887.8,-905.0,-823.6,-661.6,-484.8,-565.9,-568.1,-568.6,-532.8,-577.7,-724.9,-786.2,-858.7,-914.1
"16","    Exports",43.5,36.0,29.9,23.4,23.6,26.2,27.6,29.0,36.5,36.1,38.1,43.4,44.5,29.4,24.8,26.6,37.3,80.5,91.8,72.3,71.6,62.7,76.9,73.5,68.6,71.9,79.6,92.7,100.8,87.2,96.2,112.9,113.5,119.2,127.7,142.8,146.8,156.9,160.5,173.2,181.6,201.0,204.5,220.4,261.9,282.7,280.8,293.1,300.2,331.8,364.7,404.0,408.9,377.6,367.8,397.8,411.1,442.6,491.0,570.6,636.6,692.8,738.6,789.8,815.7,887.7,979.0,1059.0,1185.2,1212.8,1273.3,1379.5,1299.7,1277.1,1305.0,1431.2,1533.2,1676.4,1822.3,1925.4,1763.8,1977.9,2119.0,2191.3,2269.6,2367.0,2380.6,2378.1,2450.1,2546.6
"17","        Goods","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",900.6,927.1,1008.3,1085.4,1193.0,1276.1,1350.4,1190.3,1368.7,1465.3,1521.6,1570.0,1642.4,1637.2,1642.7,1697.3,1777.3
"18","        Services","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",376.5,377.8,422.8,447.6,483.3,546.0,574.7,572.9,609.2,653.8,669.7,699.5,724.7,742.2,735.3,753.4,772.1
"19","    Imports",58.0,50.5,44.0,36.5,38.1,38.9,50.9,50.4,56.7,44.0,46.3,47.4,58.3,52.9,66.7,69.8,74.2,61.5,58.4,68.1,65.7,77.7,80.7,87.9,96.1,91.4,102.4,110.7,115.3,120.8,133.5,135.3,134.4,149.7,153.7,161.9,179.1,205.7,220.7,253.6,268.0,279.4,294.4,327.5,342.7,334.9,297.7,355.9,394.8,429.0,436.2,407.1,417.8,412.5,464.5,577.6,615.1,667.5,707.2,735.0,767.3,794.8,793.6,849.2,922.6,1032.7,1115.3,1212.3,1375.6,1536.4,1710.0,1930.3,1876.2,1944.4,2040.1,2272.6,2421.0,2581.5,2646.0,2587.1,2248.6,2543.8,2687.1,2759.9,2802.4,2944.7,3105.5,3164.4,3308.7,3460.6
"20","        Goods","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",1634.0,1729.0,1926.8,2062.3,2190.9,2236.0,2160.8,1830.1,2112.7,2242.5,2301.4,2341.9,2472.7,2615.2,2651.4,2773.5,2909.8
"21","        Services","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",309.4,310.5,345.2,358.6,390.2,409.2,425.2,415.9,430.8,444.6,458.5,460.6,472.7,491.8,512.5,534.9,552.0
"22","Government consumption expenditures and gross investment",180.4,198.7,206.8,200.2,193.8,217.8,224.6,259.9,249.7,268.7,292.4,302.9,509.8,1184.0,1775.0,1992.3,1749.6,616.0,522.6,551.8,611.1,613.5,838.9,1004.6,1073.2,1004.2,971.6,973.9,1018.7,1052.9,1079.6,1086.4,1145.2,1220.1,1249.7,1280.3,1321.3,1436.4,1550.4,1603.2,1604.8,1571.0,1541.5,1533.6,1528.7,1562.3,1596.7,1605.0,1624.3,1670.9,1701.0,1731.8,1748.5,1780.0,1846.4,1911.3,2038.8,2149.5,2211.9,2239.4,2303.0,2376.7,2405.2,2416.4,2396.6,2398.6,2410.8,2433.1,2473.0,2533.0,2615.4,2663.0,2762.3,2885.2,2947.2,2992.7,3015.5,3063.5,3118.6,3195.6,3307.3,3307.2,3203.3,3137.0,3061.0,3032.3,3088.5,3132.5,3130.4,3177.8
"23","    Federal","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",969.6,1032.7,1077.5,1099.1,1125.0,1147.0,1218.8,1293.0,1346.1,1311.1,1286.5,1215.3,1183.2,1183.0,1187.8,1196.4,1227.8
"24","        National defense","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",606.1,655.6,692.7,708.6,719.8,740.3,791.5,836.7,861.3,842.9,814.2,759.6,728.0,713.5,709.2,713.8,738.2
"25","        Nondefense","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",363.1,377.1,384.8,390.6,405.3,406.7,427.3,456.3,484.8,468.3,472.4,455.6,455.0,469.1,478.0,481.9,489.1
"26","    State and local","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",1927.6,1922.2,1920.1,1920.1,1941.6,1974.7,1978.7,2015.6,1961.3,1892.2,1850.5,1845.3,1848.1,1903.9,1942.8,1932.3,1948.9
"27","Residual",-20.9,-31.5,-44.0,-42.0,-51.1,-62.6,-72.1,-81.3,-75.8,-73.8,-82.0,-92.5,-166.7,-414.0,-643.7,-726.7,-594.5,-98.6,-21.7,-52.0,-63.0,-68.2,-153.5,-209.7,-225.9,-185.7,-169.3,-159.9,-166.9,-192.2,-190.2,-182.4,-199.9,-218.6,-211.6,-198.7,-206.0,-237.8,-261.4,-256.4,-242.3,-209.2,-207.2,-181.7,-161.7,-160.2,-149.5,-187.0,-176.2,-149.4,-105.9,-64.1,-101.0,-100.4,-132.3,-197.5,-165.0,-170.3,-201.8,-169.6,-168.1,-165.5,-157.8,-164.9,-151.9,-182.1,-122.7,-99.5,-126.0,-103.1,-79.7,-50.0,53.8,-86.1,-47.5,-5.9,35.1,31.8,25.7,-2.4,-15.5,-11.3,-3.7,0.0,-0.4,0.8,11.2,22.4,20.0,4.2
"Legend / Footnotes:"
"Note. Chained (2012) dollar series are calculated as the product of the chain-type quantity index and the 2012 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not additive. The residual line is the difference between the first line and the sum of the most detailed lines."
