"Table 5.7.5A. Change in Private Inventories by Industry"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 27, 2018"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"10","        Durable goods","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.1,0.5,-0.1,0.8,0.6,-0.3,0.0,0.0,0.8,-0.1,0.0,0.0,0.9,0.5,0.2,0.7,0.7,0.8,1.0,2.1,1.1,0.7,1.5,1.3,1.7,1.9,1.8,3.4,-1.2,2.8,3.5,6.1,3.3,3.1,3.5,-2.2,-0.9,10.6,2.0,3.9,4.3,5.8,2.5,3.8,0.8,3.5,4.3,12.6,13.2,4.2,18.1
"11","        Nondurable goods","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",-0.2,0.1,0.1,0.6,-0.2,0.6,0.1,0.2,0.4,0.6,-0.2,0.0,0.8,0.0,0.2,0.1,0.8,0.4,0.4,1.0,1.0,0.3,0.7,1.3,0.4,0.1,-0.4,2.0,-1.7,1.9,2.6,1.4,1.9,0.5,0.6,0.6,1.3,3.8,4.1,3.2,2.3,2.7,1.6,4.3,3.7,4.8,2.0,3.8,0.9,-1.0,8.4
"12","            Merchant wholesalers","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",1.4,0.3,0.2,0.4,1.2,1.1,1.3,2.6,1.6,0.8,1.8,2.5,2.3,1.9,1.1,4.5,-3.1,3.9,6.2,7.7,4.5,4.7,2.8,-1.1,0.7,12.7,7.0,7.0,7.2,7.3,3.4,7.2,4.6,8.4,6.3,14.5,11.2,2.4,23.8
"13","                Durable goods","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.7,0.3,0.1,0.4,0.5,0.8,0.9,1.7,0.8,0.6,1.2,1.3,1.8,1.7,1.5,3.0,-1.4,2.0,3.9,5.7,2.8,3.5,2.5,-1.9,-0.6,9.6,2.5,4.0,4.5,4.9,2.0,3.5,1.0,4.2,4.0,11.1,11.0,3.5,16.1
"14","                Nondurable goods","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.6,-0.1,0.1,0.0,0.7,0.3,0.4,0.9,0.8,0.2,0.6,1.2,0.4,0.2,-0.4,1.6,-1.7,1.9,2.3,2.1,1.7,1.2,0.2,0.7,1.3,3.1,4.5,3.0,2.7,2.4,1.4,3.7,3.6,4.2,2.2,3.5,0.3,-1.1,7.8
"15","            Nonmerchant wholesalers","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.3,0.2,0.2,0.4,0.3,0.1,0.2,0.5,0.6,0.3,0.4,0.1,-0.1,0.1,0.4,0.9,0.1,0.8,0.0,-0.3,0.8,-1.1,1.3,-0.4,-0.3,1.7,-0.9,0.1,-0.5,1.2,0.7,0.9,-0.1,-0.2,0.1,1.8,2.9,0.7,2.7
"16","                Durable goods","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.2,0.2,0.1,0.3,0.2,0.1,0.1,0.4,0.4,0.1,0.3,0.0,-0.2,0.2,0.4,0.5,0.1,0.8,-0.4,0.4,0.5,-0.4,1.0,-0.3,-0.3,1.0,-0.5,-0.1,-0.2,0.9,0.5,0.3,-0.2,-0.7,0.3,1.5,2.3,0.7,2.0
"17","                Nondurable goods","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.2,0.1,0.1,0.2,0.0,-0.1,0.1,0.4,0.0,-0.1,0.3,-0.7,0.3,-0.7,0.3,-0.1,0.0,0.7,-0.4,0.2,-0.4,0.3,0.3,0.6,0.2,0.6,-0.2,0.3,0.6,0.1,0.6
"18","    Retail trade",0.3,-0.5,-0.3,-0.7,-0.5,0.0,0.3,0.7,0.1,-0.2,0.1,0.5,0.9,-0.4,-0.5,-0.1,0.3,2.0,0.6,1.2,-0.4,2.1,0.0,0.0,0.4,0.1,2.1,0.2,0.8,-0.2,1.1,1.4,-0.4,1.5,1.2,1.3,2.5,2.3,0.0,2.6,2.4,0.0,5.2,3.5,4.1,-0.8,-3.2,5.0,4.3,5.6,0.0,-3.0,6.3,-2.8,10.2,17.0,12.2,2.6,17.3,6.6,12.7,-1.6,0.5,4.3,14.5,19.8,12.0,7.4,13.7
"19","        Durable goods","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",1.2,0.7,-0.3,1.4,0.2,-0.1,0.3,-0.2,1.1,-0.3,0.7,-0.7,0.3,1.0,-0.9,0.6,0.7,0.5,1.7,1.2,-0.7,2.0,1.2,-1.0,3.5,2.0,3.0,0.5,-1.4,3.3,3.2,3.2,-0.3,-5.2,2.1,-2.7,5.9,8.7,8.5,0.1,13.2,4.7,6.4,-1.2,-4.5,1.2,8.9,13.5,9.3,5.0,9.6
"20","            Motor vehicle dealers4","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.1,1.0,-0.6,0.5,0.5,0.1,1.5,0.6,-0.8,1.4,0.7,-1.2,2.8,0.3,2.2,0.2,-1.4,1.7,2.8,1.7,0.0,-4.6,0.2,-1.8,3.3,5.2,6.1,-1.2,9.1,1.8,4.2,-1.4,-3.6,1.3,3.7,7.4,5.7,2.6,4.4
"21","            Other4","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.2,0.0,-0.3,0.2,0.1,0.4,0.2,0.6,0.2,0.6,0.5,0.2,0.7,1.7,0.8,0.3,0.0,1.5,0.4,1.5,-0.3,-0.6,1.9,-0.8,2.6,3.5,2.4,1.3,4.1,2.9,2.2,0.2,-0.9,-0.1,5.2,6.1,3.6,2.4,5.3
"22","        Nondurable goods","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",-0.6,0.5,0.0,0.8,-0.2,0.1,0.1,0.4,1.0,0.5,0.1,0.5,0.7,0.4,0.5,0.8,0.5,0.8,0.8,1.1,0.7,0.7,1.1,1.0,1.7,1.5,1.1,-1.3,-1.8,1.8,1.1,2.4,0.2,2.1,4.2,-0.2,4.3,8.3,3.7,2.6,4.1,1.8,6.3,-0.4,5.0,3.1,5.7,6.3,2.7,2.4,4.1
"23","    Other",0.5,-0.3,-0.2,-0.4,-0.1,0.0,-0.1,0.0,0.1,0.0,-0.1,0.0,0.3,0.1,-0.1,0.1,0.1,0.4,0.2,-0.1,-0.2,0.2,0.7,0.0,-0.5,0.0,-0.3,0.5,0.4,0.0,0.3,0.2,0.6,0.0,0.4,0.4,0.3,0.2,1.1,0.3,0.6,0.2,0.5,0.7,0.8,1.3,0.7,0.2,2.2,2.1,-0.1,-0.8,6.7,-2.2,-0.8,1.0,3.7,2.4,1.7,-1.1,-3.3,-3.2,2.7,2.2,2.6,3.7,2.0,1.5,5.8
"24","        Durable goods","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.1,0.0,0.2,0.1,0.0,0.1,0.1,-0.1,0.1,-0.3,0.0,-0.1,-0.2,0.1,0.4,0.0,-0.1,-0.1,0.1,0.5,0.0,-0.2,0.1,0.7,-0.6,0.1,-0.3,-0.6,0.2,-0.3,0.4,0.0,-0.3,0.4,0.3,0.5,0.0,0.4,0.9
"25","        Nondurable goods","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.2,0.2,0.4,-0.1,0.5,0.4,0.2,0.3,0.9,0.5,0.6,0.2,0.7,0.6,0.4,1.3,0.8,0.3,2.1,1.6,0.0,-0.6,6.5,-2.8,-0.2,0.9,4.1,3.0,1.5,-0.8,-3.7,-3.2,3.0,1.7,2.4,3.2,1.9,1.1,4.8
"Legend / Footnotes:"
"1. Beginning with 1991, includes change in farm materials and supplies inventories."
"2. Beginning with 1982, this series is derived from the Census Bureau series 'current cost inventories.' For earlier periods, it is derived from the Census Bureau 'book value inventories' series. The series differ in the treatment of inventories reported on a last-in, first-out (LIFO) basis: The series prior to 1982 is a mix of LIFO and non-LIFO inventories; the series beginning with 1982 is entirely on a non-LIFO basis."
"3. Beginning with 1973, the inventory valuation adjustment (IVA) shown in this table differs from the IVA that adjusts business incomes. The IVA in this table reflects the mix of methods (first-in, first-out; last-in, first-out; etc.) underlying inventories derived primarily from Census Bureau statistics (see footnote 1). This mix differs from that underlying business income derived primarily from Internal Revenue Service statistics. Prior to 1973, the two IVA's are the same because information required for separate estimates is not available."
"4. Prior to 1981, inventories of auto and home supply stores are included in motor vehicle dealers. Beginning with 1981, these inventories are included in 'other durable goods.'"
"Note. Estimates for nonfarm industries other than manufacturing and trade for 1986 and earlier periods are based on the 1972 Standard Industrial Classification (SIC). Manufacturing estimates for 1981 and earlier periods and trade estimates for 1966 and earlier periods are based on the 1972 SIC; later estimates for these industries are based on the 1987 SIC. The resulting discontinuities are small."
