"Table 5.3.5. Private Fixed Investment by Type"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: February 28, 2019 - Next Release Date March 28, 2019"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"10","        Information processing equipment",1.7,1.8,1.6,1.8,2.1,2.4,2.7,2.4,2.8,3.4,4.0,3.6,4.0,4.7,5.1,5.5,6.1,6.8,7.8,9.7,10.1,10.6,12.8,14.3,14.9,16.7,19.9,23.1,23.8,27.5,33.7,42.3,50.3,58.9,69.6,74.2,83.7,101.2,106.6,111.1,112.2,120.8,130.7,129.6,129.2,142.1,153.3,167.0,188.4,204.7,222.8,240.1,259.8,293.8,265.9,236.7,242.7,255.8,267.0,288.5,310.9,306.3,275.6,307.5,313.3,331.2,341.7,345.7,353.2,354.3,381.9,409.6
"11","            Computers and peripheral equipment","---","---","---","---","---","---","---","---","---","---","---","---",0.0,0.2,0.3,0.3,0.7,0.9,1.2,1.7,1.9,1.9,2.4,2.7,2.8,3.5,3.5,3.9,3.6,4.4,5.7,7.6,10.2,12.5,17.1,18.9,23.9,31.6,33.7,33.4,35.8,38.0,43.1,38.6,37.7,44.0,47.9,52.4,66.1,72.8,81.4,87.9,97.2,103.2,87.6,79.7,79.9,84.2,84.2,92.6,95.4,93.9,88.9,99.6,95.6,103.5,102.1,101.6,101.4,99.3,109.2,118.1
"12","            Other3",1.7,1.8,1.6,1.8,2.1,2.4,2.7,2.4,2.8,3.4,4.0,3.6,4.0,4.6,4.8,5.1,5.4,5.9,6.7,8.0,8.2,8.7,10.4,11.6,12.2,13.2,16.3,19.2,20.2,23.1,28.0,34.8,40.2,46.4,52.5,55.3,59.8,69.6,72.9,77.7,76.4,82.8,87.6,90.9,91.5,98.1,105.4,114.6,122.3,131.9,141.4,152.2,162.5,190.6,178.4,157.0,162.8,171.6,182.8,195.9,215.5,212.4,186.7,207.9,217.7,227.7,239.6,244.1,251.8,255.0,272.7,291.5
"13","        Industrial equipment",4.6,4.6,3.7,4.5,5.7,5.9,6.7,7.1,7.3,8.8,9.6,8.2,8.5,9.4,8.8,9.3,10.0,11.4,13.7,16.2,16.9,17.3,19.1,20.3,19.5,21.4,26.0,30.7,31.3,34.1,39.4,47.7,56.2,60.7,65.5,62.7,58.9,68.1,72.5,75.4,76.7,84.2,93.3,92.1,89.3,93.0,102.2,113.6,129.0,136.5,140.4,147.4,149.1,162.9,151.9,141.7,143.4,144.2,162.4,181.6,194.1,194.3,153.7,155.2,191.5,211.2,209.3,218.9,218.6,215.0,231.3,248.4
"14","        Transportation equipment",4.9,5.5,5.7,6.4,6.6,5.7,6.6,6.0,7.5,7.4,8.3,6.1,8.3,8.5,8.0,9.8,9.4,10.6,13.2,14.5,14.3,17.6,18.9,16.2,18.4,21.8,26.6,26.3,25.2,30.0,39.3,47.3,53.6,48.4,50.6,46.8,53.5,64.4,69.0,70.5,68.1,72.9,67.9,70.0,71.5,74.7,89.4,107.7,116.1,123.2,135.5,147.1,174.4,170.8,154.2,141.6,134.1,159.2,179.6,194.3,188.8,148.7,74.9,135.8,177.8,215.3,242.5,272.2,304.9,290.5,284.3,304.9
"15","        Other equipment4",4.1,5.4,4.7,5.1,5.5,5.6,5.6,5.3,6.3,6.7,6.7,6.9,7.6,7.1,7.0,7.5,8.8,9.9,11.0,12.7,12.4,13.0,14.4,15.6,16.3,19.0,22.6,24.3,27.4,29.6,36.3,43.2,47.9,48.3,55.2,51.2,50.4,58.2,59.9,60.7,64.0,69.0,80.2,80.2,70.8,72.0,80.2,88.1,94.7,101.0,112.1,125.4,130.4,138.6,139.5,139.6,150.5,162.7,186.0,198.0,199.6,196.1,166.1,178.5,198.7,225.7,233.6,254.0,241.7,231.1,252.9,273.4
"16","    Intellectual property products",2.0,2.1,2.0,2.3,2.4,3.0,3.7,3.9,4.3,5.2,5.6,6.0,6.6,7.1,8.0,8.4,9.2,9.8,11.1,12.8,14.0,15.6,17.2,17.9,18.7,20.6,22.7,25.5,27.8,32.2,35.8,40.4,48.1,54.4,64.8,72.7,81.3,95.0,105.3,113.5,120.1,132.7,150.1,164.4,179.1,187.7,196.9,205.7,226.8,253.3,288.0,318.1,365.1,411.3,415.0,406.2,418.7,437.8,473.1,506.3,544.8,574.4,564.4,578.2,621.7,655.7,691.9,726.4,759.2,805.5,852.0,927.0
"17","        Software5","---","---","---","---","---","---","---","---","---","---","---","---",0.0,0.1,0.2,0.2,0.4,0.5,0.7,1.0,1.2,1.3,1.8,2.3,2.4,2.8,3.2,3.9,4.8,5.2,5.5,6.3,8.1,9.8,11.8,14.0,16.4,20.4,23.8,25.6,29.0,33.3,40.6,45.4,48.7,51.1,57.2,60.4,65.5,74.5,93.8,109.2,136.6,156.8,157.7,152.5,155.0,166.3,178.6,189.5,206.4,223.8,226.0,226.4,249.8,272.1,283.7,297.5,307.3,327.5,352.9,385.1
"18","        Research and development6",1.1,1.1,1.0,1.2,1.4,1.9,2.4,2.5,2.7,3.6,3.7,4.0,4.4,4.9,5.2,5.6,6.0,6.5,7.2,8.1,9.0,9.9,11.0,11.5,11.9,12.9,14.6,16.4,17.5,19.6,21.8,24.9,29.1,34.2,39.7,44.8,49.6,56.9,63.0,66.5,69.2,76.4,84.1,91.5,101.0,105.4,106.3,109.2,121.2,134.5,148.1,160.6,177.5,199.0,202.7,196.1,201.0,207.4,224.7,245.6,268.0,284.2,274.6,282.4,303.4,313.4,337.9,357.6,374.8,398.8,417.9,457.7
"19","        Entertainment, literary, and artistic originals",1.0,0.9,1.1,1.1,1.0,1.1,1.3,1.4,1.6,1.7,1.9,2.0,2.2,2.1,2.7,2.6,2.8,2.8,3.2,3.7,3.8,4.3,4.4,4.1,4.4,4.9,4.9,5.2,5.5,7.4,8.6,9.1,10.9,10.3,13.2,13.9,15.3,17.8,18.6,21.4,21.9,23.0,25.4,27.5,29.4,31.2,33.4,36.1,40.2,44.3,46.1,48.3,51.0,55.6,54.7,57.6,62.7,64.1,69.8,71.2,70.4,66.4,63.7,69.4,68.6,70.2,70.3,71.3,77.1,79.3,81.2,84.1
"20","Residential",12.2,15.8,14.8,20.7,18.7,18.9,19.7,21.4,25.4,24.0,22.6,22.8,28.6,26.9,27.0,29.6,32.9,35.1,35.2,33.4,33.6,40.2,44.4,43.4,58.2,72.4,78.3,69.5,66.7,86.8,115.2,138.0,147.8,129.5,128.5,110.8,161.1,190.4,200.1,234.8,249.8,256.2,256.0,239.7,221.2,254.7,286.8,323.8,324.1,358.1,375.6,418.8,461.8,485.4,513.1,557.6,637.1,749.8,856.2,838.2,690.5,516.0,390.0,376.6,378.8,432.0,510.0,560.1,633.6,698.8,754.6,795.3
"21","    Structures",11.9,15.5,14.5,20.4,18.3,18.5,19.3,21.1,25.0,23.5,22.2,22.3,28.1,26.3,26.5,29.1,32.3,34.5,34.5,32.7,32.9,39.3,43.4,42.3,56.9,70.9,76.6,67.6,64.8,84.6,112.8,135.3,144.7,126.1,124.9,107.2,156.9,185.6,195.0,229.3,244.0,250.1,249.9,233.7,215.4,248.8,280.7,317.6,317.7,351.7,369.3,412.1,454.5,477.7,505.2,549.6,628.8,740.8,846.6,828.1,680.6,506.4,381.2,367.4,369.1,421.5,499.0,548.8,621.9,686.7,742.2,782.4
"22","        Permanent site",8.3,11.2,10.7,16.1,13.8,13.4,13.9,15.4,18.6,16.5,15.1,15.4,19.7,17.5,17.4,19.9,22.4,24.1,23.8,21.8,21.5,26.7,29.2,27.1,38.7,50.1,54.6,43.4,36.3,50.8,72.2,85.6,89.3,69.6,69.4,57.0,95.0,114.6,115.9,135.2,142.7,142.4,143.2,132.1,114.6,135.1,150.9,176.4,171.4,191.1,198.1,224.0,251.3,265.0,279.4,298.8,345.7,417.5,480.8,468.8,354.1,230.1,133.9,127.3,123.2,154.5,202.3,235.2,273.7,303.6,330.1,345.4
"23","            Single family","---","---","---","---","---","---","---","---","---","---","---",13.1,16.7,14.9,14.1,15.1,16.0,17.6,17.8,16.6,16.8,19.5,19.7,17.5,25.8,32.8,35.2,29.7,29.6,43.9,62.2,72.8,72.3,52.9,52.0,41.5,72.5,86.4,87.4,104.1,117.2,120.1,120.9,112.9,99.4,122.0,140.1,162.3,153.5,170.8,175.2,199.4,223.8,236.8,249.1,265.9,310.6,377.6,433.5,416.0,305.2,185.8,105.3,112.6,108.2,132.0,170.8,193.6,221.1,242.5,270.2,285.0
"24","            Multifamily","---","---","---","---","---","---","---","---","---","---","---",2.3,3.0,2.6,3.3,4.8,6.4,6.4,6.0,5.2,4.7,7.2,9.5,9.5,12.9,17.2,19.4,13.7,6.7,6.9,10.0,12.8,17.0,16.7,17.5,15.5,22.4,28.2,28.5,31.0,25.5,22.3,22.3,19.3,15.1,13.1,10.8,14.1,17.9,20.3,22.9,24.6,27.4,28.3,30.3,33.0,35.1,39.9,47.3,52.8,49.0,44.3,28.5,14.7,15.0,22.5,31.5,41.6,52.5,61.1,59.9,60.3
"25","        Other structures7",3.6,4.3,3.9,4.2,4.5,5.1,5.4,5.7,6.4,7.0,7.1,6.9,8.4,8.8,9.1,9.2,9.8,10.4,10.6,10.9,11.4,12.6,14.1,15.2,18.2,20.8,22.0,24.2,28.5,33.9,40.6,49.7,55.4,56.5,55.4,50.2,61.9,71.0,79.1,94.1,101.3,107.7,106.6,101.5,100.8,113.8,129.8,141.2,146.3,160.6,171.3,188.2,203.2,212.7,225.8,250.7,283.1,323.3,365.8,359.3,326.5,276.3,247.3,240.2,245.9,267.0,296.7,313.6,348.2,383.1,412.1,437.0
"26","    Equipment",0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.9,1.0,1.1,1.3,1.5,1.7,1.9,1.9,2.1,2.4,2.7,3.2,3.4,3.6,3.7,4.2,4.7,5.1,5.5,5.8,6.1,6.1,6.0,5.7,5.9,6.1,6.2,6.3,6.3,6.3,6.7,7.3,7.7,7.8,8.0,8.3,9.0,9.6,10.0,9.9,9.6,8.8,9.2,9.8,10.5,11.0,11.3,11.7,12.1,12.5,12.9
"","Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","    Private fixed investment in structures",20.0,25.0,23.7,30.3,30.2,30.7,32.9,34.9,40.1,41.7,41.1,40.0,46.2,45.9,46.2,49.9,53.5,58.2,62.8,64.0,64.4,72.9,81.1,82.6,99.6,118.0,131.6,128.8,126.2,150.6,187.4,228.9,262.4,262.3,292.2,284.7,311.2,363.0,389.5,405.8,418.2,432.9,443.6,436.6,399.0,421.4,457.9,504.4,525.0,576.3,619.6,688.1,740.2,798.7,838.7,836.6,915.4,1048.5,1199.6,1253.3,1190.9,1077.5,837.0,747.2,773.5,900.9,991.5,1125.9,1194.0,1232.4,1327.6,1419.4
"28","    Private fixed investment in new structures",18.9,24.1,23.0,29.5,29.4,29.7,31.9,33.7,38.6,40.5,40.1,39.1,44.7,44.5,44.8,48.3,51.5,56.1,60.4,61.8,62.0,69.9,77.6,78.8,94.8,112.2,124.9,121.2,116.6,139.0,172.6,210.2,242.1,244.4,276.4,271.1,290.1,338.6,360.4,371.1,380.6,391.3,403.3,398.4,359.8,377.5,409.9,451.7,471.7,515.8,552.1,607.7,651.2,703.6,731.6,718.5,776.2,882.4,1007.0,1074.8,1041.1,960.7,734.7,651.2,675.5,785.2,854.5,985.2,1036.8,1061.5,1146.9,1237.4
"29","        Nonresidential structures8",7.7,9.3,9.0,9.9,11.9,12.2,13.5,13.8,14.9,18.2,18.9,17.6,18.2,19.7,19.9,21.0,21.5,24.0,28.4,31.3,31.3,33.4,37.5,40.2,42.7,47.2,54.9,61.1,61.2,65.8,74.3,93.2,117.4,136.0,167.2,177.4,154.3,177.2,194.2,176.3,173.9,182.3,193.3,202.8,183.7,172.7,177.1,186.6,206.9,223.9,248.5,274.3,283.2,317.2,325.8,282.6,281.9,301.2,344.2,414.3,496.5,555.0,442.2,369.5,393.9,466.2,479.5,561.7,554.9,527.0,566.6,617.5
"30","        Residential structures9",11.2,14.8,13.9,19.7,17.5,17.6,18.3,19.9,23.7,22.3,21.2,21.5,26.5,24.8,25.0,27.3,30.0,32.1,32.1,30.5,30.6,36.5,40.1,38.6,52.1,65.0,70.0,60.1,55.4,73.1,98.2,117.0,124.7,108.5,109.2,93.7,135.8,161.4,166.2,194.9,206.7,209.0,210.0,195.6,176.1,204.8,232.8,265.2,264.8,291.9,303.7,333.4,368.1,386.4,405.8,435.8,494.2,581.2,662.8,660.5,544.6,405.7,292.5,281.7,281.6,319.0,374.9,423.5,481.9,534.5,580.3,619.9
"31","    Private fixed investment in information processing equipment and software",1.7,1.8,1.6,1.8,2.1,2.4,2.7,2.4,2.8,3.4,4.0,3.6,4.0,4.9,5.3,5.7,6.5,7.4,8.5,10.7,11.3,11.9,14.6,16.6,17.3,19.5,23.1,27.0,28.5,32.7,39.2,48.7,58.5,68.8,81.5,88.3,100.1,121.5,130.3,136.8,141.2,154.1,171.3,175.0,177.9,193.1,210.5,227.4,253.8,279.2,316.5,349.3,396.4,450.6,423.6,389.3,397.7,422.1,445.6,478.0,517.3,530.1,501.7,533.9,563.1,603.3,625.3,643.3,660.5,681.8,734.9,794.8
"Legend / Footnotes:"
"1. Includes petroleum and mineral exploration."
"2. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational structures, net purchases of used structures, and brokers' commissions on the sale of structures."
"3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related equipment, and office and accounting equipment."
"4. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified."
"5. Excludes software embedded, or bundled, in computers and other equipment."
"6. Includes research and development expenditures for software."
"7. Consists primarily of manufactured homes, improvements, dormitories, net purchases of used structures, and brokers' commissions on the sale of residential structures and adjoining land, and other ownership transfer costs."
"8. Excludes net purchases of used structures and brokers' commissions on the sale of structures."
"9. Excludes net purchases of used structures and brokers' commissions and other ownership transfer costs."
