"Components of Value Added by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: March 03, 2017"
"Line","","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    293","  Educational services, health care, and social assistance",279504,303284,339548,378223,414633,449813,482058,509884,528990,549078,581189
"    294","    Compensation of employees",222854,244478,270810,302979,332114,362999,388117,409379,428393,448550,474536
"    295","    Taxes on production and imports less subsidies",5228,5924,6674,7311,8122,9805,12121,12556,13052,13821,14585
"    296","    Gross operating surplus",51421,52882,62063,67933,74398,77009,81821,87948,87545,86706,92068
"    297","    Educational services",33622,35894,39005,41449,45665,49065,52129,56116,59624,63097,71750
"    298","      Compensation of employees",29220,31041,33712,36269,39269,42678,45303,48310,51514,54850,59220
"    299","      Taxes on production and imports less subsidies",1408,1567,1716,1850,2002,2145,2260,2491,2602,2676,2814
"    300","      Gross operating surplus",2994,3286,3578,3330,4394,4241,4568,5315,5508,5571,9717
"    301","    Health care and social assistance",245882,267390,300543,336774,368968,400749,429929,453768,469366,485980,509439
"    302","      Compensation of employees",193635,213436,237098,266710,292845,320321,342814,361069,376879,393700,415316
"    303","      Taxes on production and imports less subsidies",3820,4357,4958,5461,6120,7660,9861,10065,10450,11145,11771
"    304","      Gross operating surplus",48427,49596,58486,64603,70004,72768,77253,82633,82037,81136,82352
"    305","      Ambulatory health care services",121166,132891,148945,167280,183022,199555,213410,227293,235620,242322,251234
"    306","        Compensation of employees",86068,96337,106236,119731,130905,144790,154909,164918,173665,180505,189530
"    307","        Taxes on production and imports less subsidies",1210,1448,1636,1805,2012,2589,3398,3507,3678,3900,4102
"    308","        Gross operating surplus",33889,35106,41072,45744,50106,52177,55103,58868,58277,57916,57602
"    309","      Hospitals","...","...","...","...","...","...","...","...","...","...","..."
"    310","        Compensation of employees","...","...","...","...","...","...","...","...","...","...","..."
"    311","        Taxes on production and imports less subsidies","...","...","...","...","...","...","...","...","...","...","..."
"    312","        Gross operating surplus","...","...","...","...","...","...","...","...","...","...","..."
"    313","      Nursing and residential care facilities","...","...","...","...","...","...","...","...","...","...","..."
"    314","        Compensation of employees","...","...","...","...","...","...","...","...","...","...","..."
"    315","        Taxes on production and imports less subsidies","...","...","...","...","...","...","...","...","...","...","..."
"    316","        Gross operating surplus","...","...","...","...","...","...","...","...","...","...","..."
"    317","      Social assistance",15905,17432,19901,22118,23687,27089,28993,31256,33257,34255,39403
"    318","        Compensation of employees",12751,14333,15916,17822,19737,22304,23914,25671,27381,28419,31922
"    319","        Taxes on production and imports less subsidies",230,214,233,257,291,336,353,397,415,431,511
"    320","        Gross operating surplus",2924,2885,3751,4040,3659,4449,4725,5187,5461,5405,6970
"    321","  Arts, entertainment, recreation, accommodation, and food services",153625,170300,185371,200822,206855,219369,232637,244642,257889,275456,301639
"    322","    Compensation of employees",94292,106119,113676,123662,127699,134418,141095,147351,155545,164606,177237
"    323","    Taxes on production and imports less subsidies",18549,20655,22209,24402,25392,27166,28171,30114,31793,33926,36877
"    324","    Gross operating surplus",40786,43527,49484,52758,53765,57786,63373,67178,70550,76925,87525
"    325","    Arts, entertainment, and recreation",33691,36387,42141,48963,50538,57735,59497,62402,67527,72897,80375
"    326","      Compensation of employees",17078,18760,20842,23958,25255,28273,30858,32510,35750,39065,41718
"    327","      Taxes on production and imports less subsidies",2913,3217,3468,3770,3966,4398,4723,5279,5815,6048,6748
"    328","      Gross operating surplus",13701,14411,17829,21235,21317,25064,23917,24613,25961,27785,31909
"    329","      Performing arts, spectator sports, museums, and related activities",16184,17312,19325,23238,24100,26794,28851,30485,32625,35602,37136
"    330","        Compensation of employees",7445,8217,8862,10760,11487,12651,14384,15379,17007,18841,20012
"    331","        Taxes on production and imports less subsidies",1078,1178,1212,1384,1462,1563,1711,1917,2113,2225,2478
"    332","        Gross operating surplus",7662,7918,9250,11094,11151,12580,12757,13189,13505,14536,14647
"    333","      Amusements, gambling, and recreation industries",17507,19075,22816,25725,26438,30940,30646,31917,34902,37296,43239
"    334","        Compensation of employees",9633,10543,11981,13198,13767,15621,16474,17131,18743,20224,21706
"    335","        Taxes on production and imports less subsidies",1835,2039,2256,2386,2504,2835,3012,3362,3702,3823,4270
"    336","        Gross operating surplus",6039,6494,8579,10141,10166,12484,11160,11424,12456,13249,17263
"    337","    Accommodation and food services",119934,133913,143230,151859,156317,161635,173140,182240,190363,202559,221264
"    338","      Compensation of employees",77214,87360,92834,99704,102444,106145,110238,114841,119795,125541,135519
"    339","      Taxes on production and imports less subsidies",15636,17438,18741,20632,21426,22768,23448,24835,25978,27878,30129
"    340","      Gross operating surplus",27086,29115,31655,31523,32448,32721,39456,42565,44589,49139,55615
"    341","      Accommodation",36240,38749,41957,44329,46117,48969,52062,55372,59470,64422,70555
"    342","        Compensation of employees",21276,23796,25843,28021,28559,30024,31058,32105,33439,35168,37591
"    343","        Taxes on production and imports less subsidies",4978,5534,6080,6577,6887,7529,7693,8248,8741,9548,10406
"    344","        Gross operating surplus",9987,9420,10033,9730,10672,11415,13312,15019,17290,19707,22558
"    345","      Food services and drinking places",83694,95164,101273,107531,110200,112666,121078,126868,130892,138136,150708
"    346","        Compensation of employees",55938,63564,66990,71683,73886,76121,79180,82736,86356,90374,97928
"    347","        Taxes on production and imports less subsidies",10658,11904,12661,14055,14539,15239,15755,16587,17237,18330,19724
"    348","        Gross operating surplus",17099,19696,21622,21793,21776,21307,26144,27546,27300,29433,33057
"    349","  Other services, except government",121463,133560,145297,154232,156063,166248,178751,191573,201912,212113,230792
"    350","    Compensation of employees",73929,82054,88937,95986,97285,103156,109623,115343,123440,130898,141158
"    351","    Taxes on production and imports less subsidies",4520,5011,5524,6011,6439,7055,7559,8318,8867,9341,9889
"    352","    Gross operating surplus",43013,46495,50836,52235,52340,56037,61569,67912,69604,71873,79745
"    353","Government",694564,748737,807223,866211,923523,976755,1007869,1044043,1077912,1106651,1149121
"    354","  Compensation of employees",539499,579735,625050,676422,719925,765005,788355,816508,840127,863488,895600
"    355","  Taxes on production and imports less subsidies",-6763,-7667,-8711,-9338,-10463,-11379,-12586,-13404,-15852,-16049,-13817
"    356","  Gross operating surplus",161827,176670,190883,199126,214061,223129,232100,240938,253638,259211,267338
"    357","  Federal",289341,310268,326610,341308,363265,374109,374277,377603,379462,378808,389448
"    358","    Compensation of employees",184833,196356,204432,215788,227340,233258,230623,230559,228555,228602,230772
"    359","    Taxes on production and imports less subsidies",-92,-130,-203,-206,-190,-215,-273,-369,-809,-939,-927
"    360","    Gross operating surplus",104600,114042,122381,125726,136115,141066,143927,147413,151716,151145,159602
"    361","    General government",258463,275923,290055,304343,321327,327708,329754,330610,331344,330511,332313
"    362","      Compensation of employees",153078,161932,168456,176006,186491,189571,188055,186073,183338,182172,183456
"    363","      Taxes on production and imports less subsidies","...","...","...","...","...","...","...","...","...","...","..."
"    364","      Gross operating surplus",105385,113991,121599,128337,134836,138137,141699,144537,148006,148339,148856
"    365","      National defense","...","...","...","...","...","...","...","...","...","...","..."
"    366","        Compensation of employees","...","...","...","...","...","...","...","...","...","...","..."
"    367","        Taxes on production and imports less subsidies","...","...","...","...","...","...","...","...","...","...","..."
"    368","        Gross operating surplus","...","...","...","...","...","...","...","...","...","...","..."
"    369","      Nondefense","...","...","...","...","...","...","...","...","...","...","..."
"    370","        Compensation of employees","...","...","...","...","...","...","...","...","...","...","..."
"    371","        Taxes on production and imports less subsidies","...","...","...","...","...","...","...","...","...","...","..."
"    372","        Gross operating surplus","...","...","...","...","...","...","...","...","...","...","..."
"    373","    Government enterprises",30878,34345,36555,36965,41938,46401,44523,46993,48118,48297,57135
"    374","      Compensation of employees",31755,34424,35976,39782,40849,43687,42568,44486,45217,46430,47316
"    375","      Taxes on production and imports less subsidies",-92,-130,-203,-206,-190,-215,-273,-369,-809,-939,-927
"    376","      Gross operating surplus",-785,51,782,-2611,1279,2929,2228,2876,3710,2806,10746
"    377","  State and local",405223,438469,480612,524903,560258,602647,633592,666440,698450,727843,759673
"    378","    Compensation of employees",354666,383379,420618,460634,492585,531747,557732,585949,611572,634886,664828
"    379","    Taxes on production and imports less subsidies",-6671,-7537,-8508,-9132,-10273,-11164,-12313,-13035,-15043,-15110,-12890
"    380","    Gross operating surplus",57227,62628,68502,73400,77946,82064,88173,93525,101922,108066,107736
"    381","    General government",371219,400756,438838,480326,513650,552969,580027,609854,638221,663385,694685
"    382","      Compensation of employees",329571,356280,391130,428683,458547,495321,519213,545530,569642,591374,618973
"    383","      Taxes on production and imports less subsidies","...","...","...","...","...","...","...","...","...","...","..."
"    384","      Gross operating surplus",41647,44477,47708,51642,55104,57648,60814,64324,68580,72011,75713
"    385","    Government enterprises",34004,37712,41774,44577,46608,49678,53565,56585,60229,64458,64988
"    386","      Compensation of employees",25095,27099,29488,31951,34038,36426,38519,40419,41930,43512,45855
"    387","      Taxes on production and imports less subsidies",-6671,-7537,-8508,-9132,-10273,-11164,-12313,-13035,-15043,-15110,-12890
"    388","      Gross operating surplus",15580,18150,20794,21758,22843,24416,27359,29201,33342,36056,32023
"    389","Addenda:","","","","","","","","","","",""
"    390","    Private goods-producing industries [1]",1244464,1343679,1429756,1468336,1442856,1494931,1545277,1659943,1730242,1834113,1934724
"    391","      Compensation of employees",751732,807024,840259,863910,858245,888994,912644,957141,990711,1026974,1079306
"    392","      Taxes on production and imports less subsidies",25641,29152,33905,39239,44989,46470,42817,50219,51554,53459,55869
"    393","      Gross operating surplus",467095,507499,555592,565191,539624,559470,589816,652585,687977,753680,799548
"    394","    Private services-producing industries [2]",2931189,3160213,3420715,3645042,3807663,4067613,4325572,4604770,4855906,5159437,5524670
"    395","      Compensation of employees",1434435,1564148,1678542,1804645,1876579,2020098,2122991,2240495,2375900,2535773,2744180
"    396","      Taxes on production and imports less subsidies",298393,323478,346242,368097,395068,418201,436213,475912,487390,508115,535753
"    397","      Gross operating surplus",1198359,1272585,1395929,1472300,1536015,1629311,1766371,1888364,1992614,2115545,2244738
"    398","    Information-communications-technology-producing industries [3]","...","...","...","...","...","...","...","...","...","...","..."
"    399","      Compensation of employees","...","...","...","...","...","...","...","...","...","...","..."
"    400","      Taxes on production and imports less subsidies","...","...","...","...","...","...","...","...","...","...","..."
"    401","      Gross operating surplus","...","...","...","...","...","...","...","...","...","...","..."
"Legend / Footnotes:"
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
